iter	Passed	Remaining
0	171	85765
1	189	47258
2	208	34559
3	227	28270
4	247	24491
5	266	21940
6	286	20164
7	304	18746
8	324	17678
9	342	16770
10	360	16007
11	378	15388
12	398	14921
13	417	14486
14	436	14125
15	453	13713
16	470	13368
17	489	13102
18	508	12863
19	525	12600
20	543	12399
21	560	12188
22	577	11981
23	597	11844
24	618	11750
25	640	11679
26	663	11615
27	681	11484
28	702	11404
29	723	11331
30	742	11228
31	763	11173
32	784	11102
33	801	10988
34	818	10868
35	835	10762
36	854	10694
37	871	10600
38	889	10519
39	908	10442
40	925	10359
41	948	10340
42	970	10314
43	991	10270
44	1007	10188
45	1025	10116
46	1043	10053
47	1063	10017
48	1083	9969
49	1101	9917
50	1120	9865
51	1139	9815
52	1159	9779
53	1178	9735
54	1200	9711
55	1223	9699
56	1249	9710
57	1271	9689
58	1300	9723
59	1344	9857
60	1374	9889
61	1398	9877
62	1421	9857
63	1439	9804
64	1458	9760
65	1476	9709
66	1497	9676
67	1518	9643
68	1540	9620
69	1564	9611
70	1583	9566
71	1603	9529
72	1621	9486
73	1641	9449
74	1660	9408
75	1680	9378
76	1701	9348
77	1722	9316
78	1742	9284
79	1760	9241
80	1779	9202
81	1798	9167
82	1821	9151
83	1842	9125
84	1861	9087
85	1880	9052
86	1901	9025
87	1929	9033
88	1954	9024
89	1976	9004
90	1996	8974
91	2014	8933
92	2033	8897
93	2053	8869
94	2078	8861
95	2101	8841
96	2119	8804
97	2137	8768
98	2157	8737
99	2176	8705
100	2194	8668
101	2215	8643
102	2235	8615
103	2255	8586
104	2274	8555
105	2294	8529
106	2313	8497
107	2333	8469
108	2359	8464
109	2386	8461
110	2412	8453
111	2438	8449
112	2465	8444
113	2488	8426
114	2508	8397
115	2527	8368
116	2549	8345
117	2571	8323
118	2590	8293
119	2608	8260
120	2626	8228
121	2645	8195
122	2663	8163
123	2681	8130
124	2700	8100
125	2721	8077
126	2739	8046
127	2757	8012
128	2773	7975
129	2797	7960
130	2819	7942
131	2840	7918
132	2859	7890
133	2881	7871
134	2904	7853
135	2929	7841
136	2959	7840
137	2978	7813
138	2997	7784
139	3019	7763
140	3044	7752
141	3066	7730
142	3085	7702
143	3107	7681
144	3126	7655
145	3150	7638
146	3172	7618
147	3193	7595
148	3215	7574
149	3233	7543
150	3252	7517
151	3272	7492
152	3292	7467
153	3312	7441
154	3330	7412
155	3348	7384
156	3366	7354
157	3385	7327
158	3404	7301
159	3423	7274
160	3447	7258
161	3467	7235
162	3488	7211
163	3510	7191
164	3527	7162
165	3558	7159
166	3585	7149
167	3607	7128
168	3628	7106
169	3648	7082
170	3673	7068
171	3695	7047
172	3715	7023
173	3734	6996
174	3750	6964
175	3770	6941
176	3790	6916
177	3812	6896
178	3836	6879
179	3857	6857
180	3876	6831
181	3897	6809
182	3918	6787
183	3944	6773
184	3964	6750
185	3983	6724
186	4004	6702
187	4023	6677
188	4042	6651
189	4062	6628
190	4081	6603
191	4099	6576
192	4119	6553
193	4137	6526
194	4155	6499
195	4171	6470
196	4188	6442
197	4207	6417
198	4226	6392
199	4242	6363
200	4259	6336
201	4278	6311
202	4298	6288
203	4318	6265
204	4338	6243
205	4356	6218
206	4377	6196
207	4396	6171
208	4445	6189
209	4492	6204
210	4522	6193
211	4554	6186
212	4579	6169
213	4600	6148
214	4620	6125
215	4644	6107
216	4672	6094
217	4698	6078
218	4732	6071
219	4758	6055
220	4798	6057
221	4826	6043
222	4909	6098
223	4948	6097
224	4971	6076
225	4991	6051
226	5015	6031
227	5033	6004
228	5051	5977
229	5071	5954
230	5094	5932
231	5125	5921
232	5148	5899
233	5169	5876
234	5193	5856
235	5219	5838
236	5239	5813
237	5258	5788
238	5277	5763
239	5296	5737
240	5317	5714
241	5338	5691
242	5360	5669
243	5383	5648
244	5404	5625
245	5425	5602
246	5450	5582
247	5475	5563
248	5498	5542
249	5519	5519
250	5541	5497
251	5562	5474
252	5581	5448
253	5603	5426
254	5623	5402
255	5642	5378
256	5662	5353
257	5682	5329
258	5703	5307
259	5725	5285
260	5745	5261
261	5764	5236
262	5784	5212
263	5806	5190
264	5830	5170
265	5860	5155
266	5887	5137
267	5927	5131
268	5974	5130
269	6003	5114
270	6027	5093
271	6057	5077
272	6080	5055
273	6106	5036
274	6128	5013
275	6146	4988
276	6169	4966
277	6193	4945
278	6228	4933
279	6252	4912
280	6276	4891
281	6301	4871
282	6329	4853
283	6356	4834
284	6386	4818
285	6415	4800
286	6442	4781
287	6465	4759
288	6485	4734
289	6512	4716
290	6547	4702
291	6570	4680
292	6597	4661
293	6621	4639
294	6645	4617
295	6669	4596
296	6694	4575
297	6716	4553
298	6744	4533
299	6771	4514
300	6794	4492
301	6824	4474
302	6848	4452
303	6879	4435
304	6916	4421
305	6950	4406
306	6981	4389
307	7013	4372
308	7042	4353
309	7068	4332
310	7093	4310
311	7117	4288
312	7148	4270
313	7177	4251
314	7213	4236
315	7234	4212
316	7254	4187
317	7273	4162
318	7291	4137
319	7310	4112
320	7328	4086
321	7349	4062
322	7368	4037
323	7387	4013
324	7407	3988
325	7427	3964
326	7448	3940
327	7469	3916
328	7493	3894
329	7523	3875
330	7550	3855
331	7574	3832
332	7595	3809
333	7616	3785
334	7638	3762
335	7661	3739
336	7686	3718
337	7705	3693
338	7740	3676
339	7771	3657
340	7794	3634
341	7812	3609
342	7831	3584
343	7856	3562
344	7911	3554
345	7969	3547
346	7997	3526
347	8020	3503
348	8044	3480
349	8065	3456
350	8086	3432
351	8109	3409
352	8132	3386
353	8158	3364
354	8186	3343
355	8242	3333
356	8277	3315
357	8346	3310
358	8385	3293
359	8418	3273
360	8443	3251
361	8476	3231
362	8508	3211
363	8539	3190
364	8567	3168
365	8602	3149
366	8638	3130
367	8675	3111
368	8703	3089
369	8728	3066
370	8751	3043
371	8774	3019
372	8807	2998
373	8851	2982
374	8884	2961
375	8907	2937
376	8933	2914
377	9007	2907
378	9042	2887
379	9074	2865
380	9118	2848
381	9152	2827
382	9172	2802
383	9192	2776
384	9212	2751
385	9234	2727
386	9251	2701
387	9272	2676
388	9301	2654
389	9348	2636
390	9386	2616
391	9413	2593
392	9438	2569
393	9475	2549
394	9507	2527
395	9538	2505
396	9563	2481
397	9591	2458
398	9625	2436
399	9647	2411
400	9674	2388
401	9707	2366
402	9732	2342
403	9754	2317
404	9773	2292
405	9795	2267
406	9820	2243
407	9845	2219
408	9871	2196
409	9895	2172
410	9927	2149
411	9952	2125
412	9977	2101
413	10002	2077
414	10025	2053
415	10050	2029
416	10074	2005
417	10098	1981
418	10121	1956
419	10147	1932
420	10172	1908
421	10192	1883
422	10214	1859
423	10235	1834
424	10260	1810
425	10281	1786
426	10301	1761
427	10324	1736
428	10345	1712
429	10367	1687
430	10391	1663
431	10410	1638
432	10429	1613
433	10448	1588
434	10471	1564
435	10492	1540
436	10512	1515
437	10538	1491
438	10559	1467
439	10580	1442
440	10603	1418
441	10627	1394
442	10661	1371
443	10687	1347
444	10707	1323
445	10729	1299
446	10754	1275
447	10775	1250
448	10803	1227
449	10835	1203
450	10860	1179
451	10882	1155
452	10902	1131
453	10925	1107
454	10947	1082
455	10971	1058
456	11000	1035
457	11022	1010
458	11044	986
459	11067	962
460	11093	938
461	11120	914
462	11142	890
463	11164	866
464	11183	841
465	11205	817
466	11225	793
467	11246	769
468	11269	744
469	11294	720
470	11316	696
471	11342	672
472	11362	648
473	11385	624
474	11406	600
475	11425	576
476	11449	552
477	11472	528
478	11493	503
479	11513	479
480	11536	455
481	11558	431
482	11580	407
