ROA C  before interest and depreciation before interest,ROA A  before interest and   after tax,ROA B  before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre tax net Interest Rate,After tax net Interest Rate,Non industry income and expenditure revenue,Continuous interest rate  after tax,Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest bearing debt interest rate,Tax rate  A,Net Value Per Share  B,Net Value Per Share  A,Net Value Per Share  C,Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share  Yuan,Operating Profit Per Share  Yuan,Per Share Net profit before tax  Yuan,Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt Total net worth,Debt ratio,Net worth Assets,Long term fund suitability ratio  A,Borrowing dependency,Contingent liabilities Net worth,Operating profit Paid in capital,Net profit before tax Paid in capital,Inventory and accounts receivable Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate  times,Fixed Assets Turnover Frequency,Net Worth Turnover Rate  times,Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets Total Assets,Current Assets Total Assets,Cash Total Assets,Quick Assets Current Liability,Cash Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory Working Capital,Inventory Current Liability,Current Liabilities Liability,Working Capital Equity,Current Liabilities Equity,Long term Liability to Current Assets,Retained Earnings to Total Assets,Total income Total expense,Total expense Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability Assets Flag,Net Income to Total Assets,Total assets to GNP price,No credit Interval,Gross Profit to Sales,Net Income to Stockholder s Equity,Liability to Equity,Degree of Financial Leverage  DFL,Interest Coverage Ratio  Interest expense to EBIT,Net Income Flag,Equity to Liability,Bankrupt?
0.6151966626936826,0.561688130679601,0.6780151166611896,0.14495085743133584,0.14495085743133584,0.9984348923880435,0.9228640038164792,0.9363289065393623,0.6799276290779048,0.9315896403227167,7.913800134058197e-15,0.0,0.17985663229675863,6.839067745157576e-13,0.3087317023236771,0.08046570583540684,0.11718573939694413,0.11718573939694413,0.2903185818767818,0.6210655402643415,2.3558478062219005e-11,0.1632278123233461,0.25525946704067326,0.00409248106928356,0.05233908230824724,0.37448107085368054,0.37448107085368054,0.720172509387699,0.6946946946946917,3.639648790831773e-14,0.004568882015897169,0.2682684560795522,2.7411629122702284e-12,6.55591956567328e-13,0.10899488460277729,1.038522144090265e-12,0.46620171673819777,0.5337982832618022,0.001275490493686496,0.377513794977666,0.013398240760445934,0.16336227621121738,0.2539740860412588,0.6869938239401489,0.14436090225563908,1.5290057706634497e-13,1.07018240280932e-12,1.5932315700670668e-14,1.2949060556216216e-14,0.06653809064609453,1.827139860472766e-12,0.14055618067834763,1.371165975456907e-12,0.43924385665074395,0.3555156309538524,0.4293684599131409,0.05179127440349936,0.023156642528801938,2.9530491916151107e-13,0.30072386060955947,0.345771156921886,0.9017925449198735,4.856593446115027e-13,0.5877632681339058,0.8184207613309802,0.5287777198618933,1.0000058843633543e-12,0.8389019571755161,0.05484620687227222,0.09379204208733122,1.42469079358719e-15,0.9729458917835668,0.8401027873426045,0.35999999999999366,0.951515107275401,0.5905577461961233,0.5877632681339058,0.5287777198618933,0.1292100751554013,0.4901436984731613,0.42537797904754704,0.6027858234858432,0.3030888319408582,0.0406922317126384,0.0,0.7662372462773703,8.240817342881648e-14,0.3809511863254228,0.14496001340088616,0.8615254824706994,0.3788268239395059,0.18499468246161532,0.39938660119005,0.0,0.015720973629831044,
0.5941001191895113,0.553102525505937,0.6514623726585601,0.12177575843627286,0.12177575843627286,0.9983284447946978,0.9228337365626414,0.9363084216530673,0.6800391855726048,0.931564221861208,0.05070140280560169,0.05440881763527054,0.18646530830218155,4.828765704852526e-13,0.4094584911454605,0.10591052063283458,0.14161445891738442,0.14161445891738442,0.2889550018594267,0.6389835127401553,3.352475598394861e-11,0.15630299604296208,0.2548279210270798,0.004066071112758966,0.05226037879640533,0.3742207644639839,0.3742207644639839,0.7200650382185052,0.6066066066066027,3.568235928754602e-14,0.003960608231761531,0.2810268522299604,1.988704616153667e-12,5.5977789848143e-13,0.10795686969220486,5.06600643080077e-13,0.3145565092989975,0.6854434907010025,0.02258988469169387,0.37406924441323,0.020447612967299272,0.15650366264106144,0.25352021353620746,0.6797903192369118,0.18195488721804523,1.4206838359570842e-13,1.1500884951907181e-12,6.833873229114114e-14,8.020844994823723e-13,0.06396657023465141,1.3145406686019348e-11,0.15362481916090576,1.564543751174399e-13,0.3570358382656402,0.33575476257079545,0.33463692492782227,0.018601881912158322,0.02069906910042124,9.112556802219623e-14,0.3175076812537402,0.36093677605444,0.89853701559681,8.221212473603314e-14,0.9520732006324653,0.8085506955750876,0.5266631761760745,0.0,0.8624674896905362,0.05765435613191931,0.03554265326239537,0.6122244488977917,0.6633266533066098,0.8400712711801923,0.09799999999999097,0.9515126547353558,0.012456965226165571,0.9520732006324653,0.5266631761760745,0.12030133424138005,0.47959052624271514,0.4231085688130216,0.654959353624076,0.3016407593071153,0.05500446177584273,0.0,0.7633110022605769,2.0978019486392052e-13,0.3807773845870289,0.12177892341232233,0.861095499485703,0.3736827599384701,0.18369312456771184,0.3975742912873863,0.0,0.02950811534267791,
0.6777115613825982,0.6254669119696713,0.7483404534998357,0.14157477085206804,0.14163787527411054,0.9984354887331053,0.9233176117332708,0.936663292183314,0.6811520428376932,0.9320397084784889,5.457393650280617e-15,0.2785571142284569,0.1852714332662363,2.767953563032323e-13,0.06909612038079635,0.12309281254401193,0.1581106053094153,0.1581106053094153,0.33668030246684016,0.6346913748467082,1.761877674806258e-11,0.15729225551158837,0.2992771604272306,0.004177279400135743,0.05306993206779076,0.37631802200004394,0.37631802200004394,0.720980615662373,0.009699699699689772,4.9478147399764844e-14,0.006064878334736845,0.2713807983930605,2.613635299960947e-12,7.558819998484838e-13,0.10524857179603009,5.179766807008518e-13,0.3189377682403429,0.6810622317596569,0.0017094173527475217,0.372163557997061,0.026725544442081,0.15742285827417477,0.29397970541513113,0.6764756135622727,0.09323308270676688,1.308195672992813e-13,1.252148901206801e-12,3.547952656033033e-14,1.4236394061801803e-14,0.033108325297332104,1.01961487766861e-12,0.13833788779938871,8.24610358124535e-13,0.41147965294660693,0.30110051119332554,0.3082679281829381,0.09659459161048874,0.026131463668320636,7.502457494241675e-13,0.22555603191948445,0.353408267190366,0.9008787792119113,1.5965969247711603e-13,0.6481943506094702,0.8135494422963081,0.5246770434207858,1.1260345754410795e-12,0.8662031912027697,0.08224353166764219,0.0389954949062375,4.866891633957963e-15,4.925981365931912e-15,0.8401045973008638,1.7318426010800173e-15,0.9515312661840029,0.3633619702816429,0.6481943506094702,0.5246770434207858,0.1256464437088582,0.5149930472128341,0.4289433505494915,0.6249580114126367,0.3090869469665892,0.04257711663099199,0.0,0.8105215590483241,2.2035637229291837e-13,0.381131246912764,0.14157321038730086,0.8637813102700388,0.37379225001155286,0.18159199813742496,0.39341295615445615,0.0,0.02893413616337763,
0.8116209773539924,0.7009533366783741,0.8707196845218534,0.19025983245775935,0.19025983245775935,0.9991352996619045,0.9233905738551048,0.9366780533513798,0.6800781761921099,0.9320594783929962,1.3962121759208559e-14,2.5076516456112223e-14,0.2248002505853831,5.566213186974748e-13,0.1488381615313743,0.12238862025257076,0.1574345337359719,0.1574345337359719,0.36630717738936436,0.6652132443112142,2.6022502553420527e-11,0.2519785189372527,0.3306721329161725,0.004104760652969323,0.05239556106324983,0.3748901101053028,0.3748901101053028,0.7203645473337916,0.8818818818818808,4.473333776210134e-14,0.005109920010420987,0.28559603562638625,8.61605594196195e-12,2.4550778795967098e-12,0.10513489630222672,2.3385096689806137e-13,0.18356580829756813,0.8164341917024311,0.0021114348738238515,0.370532988281818,0.013398240760445934,0.2521565743699979,0.3289711142570007,0.6749538105446375,0.16691729323308277,3.432972084541684e-13,4.762101979338413e-13,1.5798430694784785e-14,3.6121063656816816e-14,0.04693024750883978,4.854733526651816e-12,0.19289503295290167,1.6660227018137722e-12,0.6955804583567238,0.5903054541732569,0.6000995024075829,0.4590721533302057,0.08410956823241575,5.924968645900339e-12,0.1353037462530369,0.407786033406956,0.9003947083754691,4.634556713360773e-13,0.6704130615845832,0.8338296808923262,0.5220596167019637,3.5040278253186584e-13,0.90766171290139,0.07280605662342586,0.11282963983657979,5.557114948386831e-15,5.6976067155010605e-15,0.8401977895558084,2.0151520843040206e-14,0.9515350805181523,0.28496540319215097,0.6704130615845832,0.5220596167019637,0.12288134145730337,0.5366048142946358,0.4365672278862499,0.736871464262251,0.3121535255070571,0.013138635454063614,0.0,0.8630202011068044,1.1757193882606067e-13,0.38182524394453277,0.19025822508437296,0.8655531539111669,0.3710442072156383,0.18150909393001727,0.39320378671653344,0.0,0.05843217611617564,
0.5508939213349219,0.5144673022244521,0.6082155767334859,0.23490621105274023,0.23432249514884784,0.9976471205627826,0.9225264537802987,0.9360190726341346,0.6804464209318972,0.9310600890412745,1.0415395227677462e-13,9.69886162254509e-14,0.17182814361418064,0.0,0.0,0.07769588282240218,0.11452652454139756,0.11452652454139756,0.27296392711044976,0.6109824226733885,2.874695239735033e-12,0.13171283210853593,0.23961592404790208,0.0040355572324599215,0.050864620057509136,0.3735552398338884,0.3735552398338884,0.719383760743117,0.5655655655655613,3.212241473978606e-14,0.0037778109287562867,0.25537761983069807,1.4134234725123137e-11,4.1665827186318856e-12,0.1045391371449198,4.1559234211388874e-14,0.04774678111588005,0.9522532188841211,0.002096824812155414,0.36963718146295,0.013398240760445934,0.13209548321407355,0.23846677545198175,0.6704476333457118,0.034586466165413575,2.233098346255236e-13,7.318451664272293e-13,2.1306842365605605e-14,0.6056056056056056,0.00803600128576034,6.196025022857447e-13,0.13091142903070174,9.708228226914628e-13,0.587498472461963,0.3677213030517245,0.351428644772833,0.07180488845962497,0.14594515726857196,2.5514469997280784e-12,0.04476696184453797,0.334606951757268,0.9002635642975746,9.460019711056353e-14,0.7908572905817026,0.8231733173235658,0.5202893412904535,0.0,0.8231967778277536,0.04943409030244793,0.15320755891076224,2.963123983411853e-14,3.17397619167939e-14,0.8404107899497452,9.269899453510092e-15,0.9513985892633617,0.3189791813386144,0.7908572905817026,0.5202893412904535,0.12030133424138005,0.4302562142371542,0.365027426775935,0.5675706774337663,0.2959911961539772,0.00785594421752042,0.0,0.7358093057653718,8.407368764422653e-14,0.3813082211796256,0.23490410040688792,0.8598635322473925,0.36918519114781423,0.18079650289390692,0.3912089229218698,0.0,0.2177631423852314,
0.541179976162097,0.5036516697329543,0.6129477489319749,0.11732689668228624,0.11716913562717979,0.9979336643644765,0.9224240261861855,0.9360561261784639,0.6796492793775352,0.9312222830337612,6.986854291122316e-15,1.3337848644228456e-14,0.170493057552479,4.939887928185859e-13,0.0,0.09084080559598189,0.12714652724568482,0.12714652724568482,0.25498946324531974,0.599877367488759,1.4022903608463708e-11,0.12040700960994914,0.21728341784442717,0.004001567087316676,0.04346597650116735,0.36893210282761446,0.36893210282761446,0.7179578768568406,0.6056056056056017,3.1504573124051856e-14,0.004358770173363169,0.25238668094076677,3.861227492979325e-12,5.287956884580328e-13,0.10230296593468968,9.31642435798292e-13,0.44268597997138925,0.5573140200286104,0.0024610729155666094,0.378954243395522,0.013398240760445934,0.12048533529428407,0.21597847347547544,0.688763945114853,0.07218045112781954,1.8664702595564682e-13,8.763859311117633e-13,0.032532532532532535,2.1733218594354356e-14,0.030215364834458455,5.013488438131886e-12,0.11681401703906136,2.204379538443887e-12,0.5431608257309701,0.26322235486835843,0.5415575226475693,0.12426013113766632,0.01889357221364709,8.031580576999996e-13,0.27265088066457543,0.334656984225265,0.9022243493997818,1.6875752422378563e-12,0.5578786840623089,0.8302060516041849,0.5274788853448185,1.2518849305303564e-12,0.8132582816966623,0.041476852483825,0.06259208532393289,1.925168187495009e-14,4.068927875310661e-15,0.8402057043871981,6.276346320190063e-15,0.9514833595897453,0.1832124801858589,0.5578786840623089,0.5274788853448185,0.13356505393913407,0.4573281066646866,0.421406831919635,0.538304243942704,0.2943472019372989,0.029259933802669627,0.0,0.7225218295295814,8.42528017303074e-13,0.38045688139119294,0.11733334397432515,0.8582866621195958,0.3777935481894873,0.17963389435201604,0.3869534344442034,0.0,0.017262006526716684,
0.5783671036948741,0.49088476333835046,0.6268813670719683,0.09126477037878433,0.09126477037878433,0.9973429845817967,0.9220940930748113,0.9357715971327788,0.6798306940655188,0.9307996506777135,1.0914787300551212e-14,1.760800171782565e-14,0.18010054225033834,3.576115187275758e-13,0.0,0.07478522135111045,0.11173209537116341,0.11173209537116341,0.2543696541465231,0.616705273197984,5.999799472478344e-12,0.11447145279819106,0.22181465098716066,0.0037373709591579825,0.05196192158328383,0.37473478599901133,0.37473478599901133,0.7202860912436662,0.456456456456451,2.8008819912990715e-14,0.00451740461447564,0.26432836315075037,1.945363381365264e-12,4.1214032430673115e-13,0.10378655559104977,8.156802458574654e-13,0.4138948497854076,0.5861051502145924,0.0013204846671215475,0.378294410657529,0.01760126268000313,0.11521056650733938,0.2207441347785206,0.6728556360248142,0.03909774436090221,3.1413361064858315e-13,5.204112799913855e-13,1.042390402984985e-14,0.3563563563563564,0.01575056252009016,4.513472968903305e-12,0.08418260729786153,1.2661223147198224e-11,0.35848235980757504,0.15134175105148506,0.19688230300308976,0.09758840658002851,0.015578447274190789,8.944923315373256e-13,0.19073134693470292,0.344552369921713,0.8939055264842265,4.3710446598225416e-13,0.39996742426025195,0.8084888205005276,0.5247970485549371,4.337992322176111e-12,0.8046627083187499,0.031194967131440293,0.042580193995280895,7.403362432234544e-15,3.6318330707615576e-15,0.8400623045721924,1.1168280757550112e-14,0.9513408617946241,0.7063483258825316,0.39996742426025195,0.5247970485549371,0.13633329154929172,0.3725538287678378,0.4102741801427544,0.5929794487560837,0.2735051871049595,0.05613652160013849,0.0,0.7109987907864943,7.601820454886664e-12,0.38118757925538105,0.09127040529493047,0.857638042040967,0.37667197356009324,0.1805439714656462,0.3904046172810105,0.0,0.019377190374506414,
0.5704410011918942,0.5110107598818086,0.6283930331909302,0.11963020808683278,0.11963020808683278,0.9981465595511683,0.9226340929545439,0.9361773786304366,0.6798306940655188,0.9314096937539366,5.329938596793636e-16,0.2755511022044088,0.17679877172082348,3.586217207578788e-13,0.0,0.07168677526876695,0.10875738044801025,0.10875738044801025,0.2681294161398285,0.6156833356043055,1.826984012988417e-11,0.1329847371396268,0.2282878411910669,0.004004624912874077,0.05158498090540942,0.3727328626930122,0.3727310477126795,0.7194937103726797,0.6956956956956927,3.81644243065707e-14,0.00406671471224046,0.26378756608209153,2.7477435185993566e-12,5.094230650348264e-13,0.10310284313196671,1.3657667101653498e-12,0.5248569384835485,0.47514306151645136,0.001543569070290676,0.378604196536214,0.06870256082854638,0.13308538620358054,0.22869771010514697,0.6903290329488568,0.11428571428571414,9.95728553647228e-14,1.6400644802373804e-12,1.920293513022022e-14,1.7644041576596598e-14,0.06332369013179057,1.4292108828783545e-12,0.13412634624658415,7.193235176651515e-13,0.46847591293279134,0.564063005033013,0.6049620704493929,0.04398989273318511,0.026134214085983647,1.7331256334052217e-13,0.4234928068906265,0.342398770079572,0.9010808824440928,2.6456398826772374e-13,0.7540127713329843,0.8241253295736017,0.5346135582862457,6.323479699971279e-13,0.8103572416174569,0.04436365496895349,0.05921707800543458,1.1397260344679474e-14,1.0246958803467035e-14,0.8401247741778904,0.3859999999999939,0.951515834388367,0.31400155555467296,0.7540127713329843,0.5346135582862457,0.12950500450472155,0.4934901333530386,0.42583879832319904,0.5839696009962126,0.3037355938443187,0.040602078727921646,0.0,0.732223772347733,3.8505906501620057e-13,0.38168871566620954,0.11963934810878141,0.8586363579200328,0.3819919629417243,0.1798626778459202,0.3879144479330079,0.0,0.012472180530623048,
0.7016090584028603,0.6289234543123149,0.7415708182714424,0.13586382065723224,0.135706059602128,0.9984521863948048,0.9231766986243432,0.9365019737037314,0.680741016723727,0.9318236515556596,4.518860984268586e-16,0.08166332665330661,0.18780039436388318,3.4346869030333337e-13,0.27843177397891244,0.11863292803154733,0.15382881867760348,0.15382881867760348,0.3287467460022307,0.626311486578553,2.6082600711742518e-11,0.16789146410401312,0.30672132916172173,0.004120098062212488,0.05264656145236657,0.3755075855192467,0.3755075855192467,0.7206379898831896,0.9109109109109101,4.766206749899312e-14,0.005652008564158151,0.2645822066727733,6.0852455147641355e-12,1.7490611523141004e-12,0.10513572605035648,2.8586881634145246e-13,0.21307224606580843,0.7869277539341903,0.0035025615973646547,0.37019076994652,0.02576789387813022,0.16804310320445695,0.299134400293936,0.676575852084392,0.16842105263157942,2.2289321179973308e-13,7.336734350281487e-13,4.0299386772302304e-14,6.270071427222223e-14,0.05046608807457426,5.300163973822936e-12,0.1513100787654723,8.015266674222048e-13,0.5681864817920146,0.4105646115850265,0.4241901020891953,0.23556259547096942,0.058801458505621934,3.042588854365632e-12,0.1349062593513186,0.355054663066977,0.9004555546004849,4.0085803752532594e-13,0.5705556702468486,0.8250447389546185,0.5221645024487072,2.511007969801048e-13,0.8822703666992302,0.07871869494600094,0.04768635542860348,6.17245260490989e-16,6.903476613927926e-16,0.8401499396247157,5.489537539220055e-15,0.9515752148991854,0.12542623092087438,0.5705556702468486,0.5221645024487072,0.12167259293678125,0.630902173496406,0.4578735898485592,0.6128235388374083,0.3291880317951358,0.01867385353084353,0.0,0.8144962221610408,8.331613718473906e-14,0.3816699583746098,0.13586468186168554,0.8634562344212812,0.3715474735548679,0.1814950930687175,0.39316803209549667,0.0,0.04901708727410931,
0.6036352800953514,0.5619668840943302,0.6684193230364771,0.14373609730701986,0.14373609730701986,0.9983660145335271,0.9228445606136831,0.9363252915594281,0.6800001949530974,0.931587824718323,9.698170881703507e-15,0.35871743486973945,0.1732222815593809,4.0004000400030303e-13,0.1898863752687072,0.08041875968264443,0.11714066795871492,0.11714066795871492,0.29453328374860516,0.6019212426761141,3.53877988919302e-11,0.16365178066704358,0.25752508361204,0.004155729776865451,0.05346000222247316,0.37545762579747954,0.37545762579747954,0.7206066245399643,0.07857857857856936,3.7073171582690735e-14,0.005087858266954792,0.2511285000055187,3.330921389835652e-12,6.428633736683256e-13,0.10718935267199625,1.4458576847051798e-12,0.5367489270386262,0.4632510729613737,0.0019830349087756613,0.378652286040847,0.013398240760445934,0.16375823740701942,0.256232642078304,0.7100418495829851,0.18947368421052646,1.2706996186712526e-13,1.2880690019542948e-12,0.7707707707707707,5.1114712721921924e-14,0.10125361620057863,2.7017502520650924e-12,0.14055618067834763,5.001728931930303e-13,0.5706867854676814,0.5500701951876262,0.780193278352152,0.0342818707316053,0.023712307497094774,1.2187135333706683e-13,0.45474252254187764,0.33679404452136,0.9017614756463838,9.058506705743867e-13,0.7955233675722787,0.8399944383278384,0.5362711044137977,4.259963554045807e-13,0.8411044994507288,0.05459382710841322,0.1189279711486679,7.204622702214501e-15,2.1674133379358922e-15,0.8401390327090199,0.019199999999990176,0.9515097665424227,0.1818001447726225,0.7955233675722787,0.5362711044137977,0.12855307741075966,0.47281430580044304,0.4238088509082665,0.5459272355915108,0.29651852625894726,0.033763830185887106,0.0,0.7681969880576689,8.426109732042242e-14,0.380966905977408,0.14374870866155587,0.86191042472208,0.38276617739344326,0.18350370598324156,0.3972710909563517,0.0,0.01189733385979034,0.0
